Company Name,HQ Location,Industry,Headcount,Revenue,Offers Construction Admin,CA Management Tools,Construction Litigation,Project Focus Types,Open Job Titles and Dates,,
"Marx|Okubo Associates, Inc.",Find contacts,"Denver, Colorado, United States",Architecture & Planning,201-500,$100M-$250M,Yes - services list includes “monitoring of repair process during construction” and managing bids.,Research with AI,None found,Research with AI,"Yes. LinkedIn shows “Construction Project Manager” (Seattle & Portland, both posted ~Dec 2025; CA/owner‑rep role).","Yes – no CA/QA-specific roles; closest is Interior Designer (Austin & Houston, posted on careers page by Jan 28, 2026)."
Cuhaci Peterson®,Find contacts,"Maitland, Florida, United States",Architecture & Planning,201-500,$100M-$250M,Yes - LinkedIn specialties list “Construction Administration” as a service.,Research with AI,None found,Research with AI,"No active construction admin-related job postings found as of Jan 28, 2026.",No current CA/QA/QC/documentation/tech openings found; 0 construction admin jobs listed.
Ennead Architects,Find contacts,"New York, New York, United States",Architecture & Planning,51-200,$100M-$250M,Yes - their services include full project delivery through construction administration per project RFQs and federal A/E contracts.,Research with AI,None found,Research with AI,No current CA/QA/QC/documentation tech roles; no construction admin jobs listed.,"No active CA/QA/QC/tech construction admin jobs found as of Jan 28, 2026."
Lionakis,Find contacts,"Sacramento, California, United States",Architecture & Planning,51-200,$100M-$250M,Yes - Project pages note Lionakis provides “construction administration support.”,Research with AI,None found,Research with AI,"Yes. Architect (All Levels) – includes construction administration; posted Jan 27, 2026.",No current CA/QA/QC/documentation tech roles found; no construction admin jobs listed.
Hoefer Welker,Find contacts,"Kansas City, Missouri, United States",Architecture & Planning,51-200,$100M-$250M,Yes - Interior Design services page lists “Construction Administration” among offerings,Research with AI,None found,Research with AI,"Yes – Technology/Low Voltage Designer (posted ~May 2025, tech CA-focused).",
"Epstein Architecture, Engineering and Construction",Find contacts,"Chicago, Illinois, United States",Architecture & Planning,201-500,$50M-$100M,Unclear,Research with AI,None found,Research with AI,Unknown – no clearly current CA/QA/QC or construction admin job postings found.,
BSB Design,Find contacts,"West Des Moines, Iowa, United States",Architecture & Planning,201-500,$100M-$250M,Unclear,Research with AI,"Vista Holdings, LLC v. BSB Design, Inc. (construction contract dispute) – filed Nov 22, 2024, ongoing as of July 15, 2025; sources: Justia, Leagle,Law",Research with AI,"Yes. Example: “Construction Phase Architect,” posted Oct 23, 2025 (careers site).",
Steinberg Hart,Find contacts,"Los Angeles, California, United States",Architecture & Planning,51-200,$250M-$500M,Yes - BuilderOnline lists “Construction Administration” among Steinberg Hart’s services.,Research with AI,None found,Research with AI,"Yes. Example CA-related roles: Job Captain – Los Angeles (posted Jan 2026 est.), Job Captain – San Francisco (posted Jan 2026 est.).",
Bermello Ajamil & Partners,Find contacts,"Coral Gables, Florida, United States",Architecture & Planning,51-200,$50M-$100M,Yes - Their project scopes explicitly include “construction administration.”,Research with AI,None found,Research with AI,"No current CA/QA/QC/tech openings; last related was “Architectural Designer – Healthcare,” posted 08-01-2024.",
Beyer Blinder Belle,Find contacts,"New York, New York, United States",Architecture & Planning,51-200,$50M-$100M,Yes - Careers page lists a “Project Architect- Construction Administration” role.,Research with AI,None found,Research with AI,"Yes. Project Architect – Construction Administration (Miami, FL) – listed on BBB careers page; posting live as of Jan 2026.",
Davis Partnership Architects,Find contacts,"Denver, Colorado, United States",Architecture & Planning,51-200,$100M-$250M,Unclear,Research with AI,Yes – one case found.,Research with AI,"No current CA/QA/QC/documentation tech roles found as of Jan 28, 2026.",
TEECOM,Find contacts,"San Francisco, California, United States",Architecture & Planning,51-200,$50M-$100M,Yes - IT Project Management services include coordination during construction,Research with AI,None found,Research with AI,"Yes – roles like “Associate – Project Manager I” (Remote, US, posted late 2025) but no explicit Construction Admin titles found.",
McCoy Rockford,Find contacts,"Houston, Texas, United States",Architecture & Planning,201-500,$50M-$100M,Unclear,Research with AI,None found,Research with AI,"Yes – e.g., Project Manager (Austin) – posted Dec 2, 2025 (updated Jan 22, 2026).",
"HUNT Engineers, Architects & Surveyors",Find contacts,"Horseheads, New York, United States",Architecture & Planning,51-200,$50M-$100M,Yes - Their services list explicitly includes “construction administration.”,Research with AI,None found,Research with AI,"Yes – e.g., Site/Civil Engineer (5–9 Years Exp), posted ~Jan 22 2026; roles note bidding & construction administration.",
"Sheehan Nagle Hartray Architects, a Woolpert Company",Find contacts,"Chicago, Illinois, United States",Architecture & Planning,51-200,$50M-$100M,Unclear,Research with AI,None found,Research with AI,"No active CA/QA/QC/tech construction admin roles found as of Jan 28, 2026.",
Fieldstone A&E,Find contacts,"Auburn Hills, Michigan, United States",Architecture & Planning,51-200,$50M-$100M,"Yes - About page says they balance design principles, construction administration and technical expertise.",Research with AI,None found,Research with AI,"Yes – e.g., Data Entry Specialist (lot documentation), posted mid‑Jan 2026.",
KAI Enterprises,Find contacts,"St. Louis, Missouri, United States",Architecture & Planning,51-200,$50M-$100M,Unclear,Research with AI,"Yes – at least one case found (fraud suit filed Jan 12, 2024; STL County Circuit Court).",Research with AI,"Yes – current CA-related roles on careers site: • Construction Administrator – posted Jan 14, 2026 • Project Engineer (Construction Administration) –",
"Integrus Architecture, P.S.",Find contacts,"Spokane, Washington, United States",Architecture & Planning,51-200,$100M-$250M,Unclear,Research with AI,None found,Research with AI,"Yes. Structural Engineer – Spokane, WA (LinkedIn job, posted ~1 week ago).",
Zyscovich,Find contacts,"Miami, Florida, United States",Architecture & Planning,51-200,$50M-$100M,Yes - services list includes “Construction Administration” among firm keywords,Research with AI,None found,Research with AI,"Yes – e.g., “Senior Construction Administrator,” posted Dec 25, 2024 (Miami, FL).",
pb2 architecture + engineering,Find contacts,"Rogers, Arkansas, United States",Architecture & Planning,51-200,$50M-$100M,Yes - Their Architecture services page lists “Construction Administration” as a service.,Research with AI,None found,Research with AI,"No current construction admin/CA roles found; last related: Permit Coordinator – posted Dec 11, 2024 (closed Jan 26, 2025).",
BC2,Find contacts,"Montréal, Quebec, Canada",Architecture & Planning,51-200,$10M-$25M,Yes - Their landscape architecture services include “Surveillance de chantier” (site supervision).,Research with AI,None found,Research with AI,"Yes – e.g., “Coordonnateur(trice) Appel d’Offres (Temporaire 13 mois)” (posted Jan 2026).",
Precis Engineering + Architecture,Find contacts,"Ambler, Pennsylvania, United States",Architecture & Planning,51-200,$50M-$100M,Yes - their Project Management services list “Construction administration.”,Research with AI,None found,Research with AI,"No current construction admin/CA/QA/QC roles; only Sr Mechanical (Ambler & Cary), Sr Electrical (Cary), Sr Plumbing (Ambler), and Business Development",
Vestal Corporation,Find contacts,"Chesterfield, Missouri, United States",Architecture & Planning,51-200,$25M-$50M,Yes - Services list includes construction observation under Industrial Process Division.,Research with AI,None found,Research with AI,"Yes – e.g., “Senior Structural Designer” (San Antonio, posted ~2 days ago).",
Omicron,Find contacts,"Vancouver, British Columbia, Canada",Architecture & Planning,51-200,$50M-$100M,Unclear,Research with AI,None found,Research with AI,"Project Coordinator – Construction (project admin role), posted Apr 4, 2025 (Vancouver, BC).",
Chipman Design Architecture,Find contacts,"Des Plaines, Illinois, United States",Architecture & Planning,51-200,$25M-$50M,Yes - Services page lists “Construction Administration” with details of managing projects from construction kick-off to turnover.,Research with AI,None found,Research with AI,Yes. Careers page lists: Project Associate (undated) and Project Manager (undated).,
CSHQA,Find contacts,"Boise, Idaho, United States",Architecture & Planning,51-200,$50M-$100M,Yes - Their Architecture services include “bidding and construction administration.”,Research with AI,None found,Research with AI,No relevant construction admin/CA/QA/QC/documentation/tech roles open at CSHQA now.,
exp Federal,Find contacts,"Chicago, Illinois, United States",Architecture & Planning,51-200,$50M-$100M,"Yes - projects page notes Construction Phase Services incl. technical assistance during construction and shop drawing/submittal review, indicating CA.",Research with AI,"Arcadis-EXP Federal JV and Legacy-EXP Federal JV GAO bid protests filed Dec 11–12, 2025; no construction litigation/claims found.",Research with AI,"Yes – “Quality Control Manager” (construction QA/QC), posted ~recently (active as of Jan 2026).",
Cordogan Clark,Find contacts,"Chicago, Illinois, United States",Architecture & Planning,51-200,$25M-$50M,Yes - Their services list explicitly includes “Construction Administration.”,Research with AI,None found,Research with AI,No current CA/QA/QC/document-control tech roles found for Cordogan Clark.,
Hariri Pontarini Architects,Find contacts,"Toronto, Ontario, Canada",Architecture & Planning,51-200,$10M-$25M,Yes - Described as full-service with partner involvement through all stages and expertise to rigorously oversee construction.,Research with AI,None found,Research with AI,No current construction admin/CA/QA/QC tech roles found,
Fogarty Finger,Find contacts,"New York, New York, United States",Architecture & Planning,51-200,$50M-$100M,Yes - Project descriptions note they handled “construction administration” services.,Research with AI,None found,Research with AI,"Yes. Examples: Senior Architectural Designer – Ground-up Studio (NY, posted Jan 8, 2026).",
Harrison Design,Find contacts,"Atlanta, Georgia, United States",Architecture & Planning,51-200,$50M-$100M,Unclear,Research with AI,None found,Research with AI,"No current CA/QA/QC/documentation tech roles; only “Architectural Job Captain” (Los Angeles, posted Dec 1, 2025) found.",
"RAND Engineering & Architecture, DPC",Find contacts,"New York, New York, United States",Architecture & Planning,51-200,$50M-$100M,"Yes - Website header: “specializing in building evaluation, design, and construction administration.”",Research with AI,None found,Research with AI,"Yes – roles include Project Architect/Engineer (construction admin focus) and Code & Zoning Team Associate, posted Jan 9–23, 2025 (approx.).",
"Howard L. Zimmerman Architects & Engineers, D.P.C.",Find contacts,"New York, New York, United States",Architecture & Planning,51-200,$25M-$50M,Unclear,Research with AI,"Yes – Cipriani Club Residences v. Howard L. Zimmerman Architects & Engrs. DPC (filed Jan 31, 2022; NY Supreme Ct. Index 650480/2022; App. Div. 1st Dep",Research with AI,No current CA/QA/QC/tech construction admin roles found,
Sense Engineering,Find contacts,"Toronto, Ontario, Canada",Architecture & Planning,11-50,$10M-$25M,"Yes - They list “construction monitoring, contract administration and project management” under services during construction.",Research with AI,None found,Research with AI,"Yes – e.g., “Project Associate – Building Restoration,” posted Jan 2026 (Toronto).",
Bohlin Cywinski Jackson,Find contacts,"Wilkes Barre, Pennsylvania, United States",Architecture & Planning,51-200,$50M-$100M,Unclear,Research with AI,None found,Research with AI,Unknown – no current CA/QA/QC/construction admin jobs visible on BCJ or LinkedIn.,
ESG | Architecture & Design,Find contacts,"Minneapolis, Minnesota, United States",Architecture & Planning,51-200,$50M-$100M,Unclear,Research with AI,None found,Research with AI,Yes. Careers page lists a “Construction Administrator” opening (no posting date given).,
"Ci Design, Inc.",Find contacts,"Baltimore, Maryland, United States",Architecture & Planning,51-200,$50M-$100M,Yes - Project pages note Ci delivers services ‘from design through construction administration.’,Research with AI,"ADUSA Distribution Services, LLC v. Ci Design, Inc., contract suit filed Oct 31, 2023 (Law360); no other relevant cases/news found.",Research with AI,"Yes. E.g., Project Architect – Baltimore, MD (posted Jan 2026, includes construction administration).",
REES,Find contacts,"Oklahoma City, Oklahoma, United States",Architecture & Planning,51-200,$100M-$250M,Yes - their Services page lists “Construction Administration” as a core service.,Research with AI,None found,Research with AI,No current CA/QA/QC/tech construction admin roles found.,
Goree,Find contacts,"Houston, Texas, United States",Architecture & Planning,51-200,$50M-$100M,Yes - services page lists “Construction Administration” among core services,Research with AI,"Yes – Feb 13, 2023 copyright suit: Powers Brown Architecture v. Goree Architects, Inc.",Research with AI,No current construction admin/CA/QA/QC/documentation/tech roles found.,
CetraRuddy Architecture,Find contacts,"New York, New York, United States",Architecture & Planning,51-200,$25M-$50M,Unclear,Research with AI,"Yes – involved in condo construction litigation (141 Fifth Ave.) through at least Jan 5, 2023.",Research with AI,"Yes. E.g., “Project Architect / Task Leader” (posted recently; involves CA).",
Torti Gallas + Partners,Find contacts,"Washington, District Of Columbia, United States",Architecture & Planning,51-200,$50M-$100M,"Yes - e.g., Belmont Affordable Housing lists Construction Administration as a service",Research with AI,None found,Research with AI,No CA/QA/QC/doc/tech construction admin roles currently listed.,
Peter Marino Architect,Find contacts,"New York, New York, United States",Architecture & Planning,51-200,$50M-$100M,Unclear,Research with AI,"Nahla Raleigh LLC v. BSD Raleigh Trustee LLC (re: Marino designs), filed Jan 2026 – The Real Deal, Jan 26 2026; no direct construction litigation/defm",Research with AI,No current CA/QA/QC/tech construction admin roles found,
"group 70 international, inc.",Find contacts,"Honolulu, Hawaii, United States",Architecture & Planning,51-200,$50M-$100M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/tech or construction admin jobs posted.,
The Architectural Team,Find contacts,"Chelsea, Massachusetts, United States",Architecture & Planning,51-200,$25M-$50M,Yes - Buzzfile lists “Construction Administration” among TAT’s services,Research with AI,None found,Research with AI,Yes. Careers page lists: Project Architect (posted ~Oct 2025) and Project Design Architect (~Oct 2025).,
Apogee Consulting Group,Find contacts,"Cary, North Carolina, United States",Architecture & Planning,51-200,$25M-$50M,Yes - SignalHire lists “Construction Management and Administration” among Apogee’s specialties.,Research with AI,None found,Research with AI,No CA/QA/QC/admin jobs found; only design/engineering roles posted.,
Kirkor Architects and Planners,Find contacts,"Toronto, Ontario, Canada",Architecture & Planning,51-200,$10M-$25M,Unclear,Research with AI,None found,Research with AI,"Yes – e.g., “Construction Administrator / Contract Administrator” (Toronto) – posted Jan 2026.",
"MVE + Partners, Inc.",Find contacts,"Irvine, California, United States",Architecture & Planning,51-200,$25M-$50M,"Yes – job descriptions note staff “handle construction administration” and “manage construction administration (RFIs, shop drawings, submittals, etc.)",Research with AI,None found,Research with AI,"Yes – e.g., Project Manager (Irvine, CA) – LinkedIn, posted Dec 2025 (CA-focused).",
BBB Architects,Find contacts,"Toronto, Ontario, Canada",Architecture & Planning,51-200,$10M-$25M,Unclear,Research with AI,None found,Research with AI,"Yes – e.g., “Specification Writer” (technical documentation), posted “Today” (Jan 28, 2026).",
MHTN Architects,Find contacts,"Salt Lake City, Utah, United States",Architecture & Planning,51-200,$50M-$100M,Yes - external firm profiles list Construction Administration among MHTN’s services,Research with AI,None found,Research with AI,"Yes – e.g., “Project Architect” (Construction Administration) – posted before Jan 28, 2026.",
"HP Engineering, Inc.",Find contacts,"Rogers, Arkansas, United States",Architecture & Planning,51-200,$25M-$50M,Unclear,Research with AI,"Choctaw Nation of Oklahoma v. Robins & Morton Corp. et al., incl. HP Engineering, Inc., case no. 119,325 (Okla. Civ. App.), filed before Sept 30, 2021",Research with AI,No current CA/QA/QC/tech or construction admin job postings found.,
Lessard Design Inc.,Find contacts,"Vienna, Virginia, United States",Architecture & Planning,51-200,$25M-$50M,Unclear,Research with AI,Yes. Multiple contract disputes; no recent construction-defect suits found.,Research with AI,Yes. Example CA-related role: “Construction Administrator” (posted on LinkedIn Jobs; current as of Jan 2026).,
Crystal Fountains,Find contacts,"Toronto, Ontario, Canada",Architecture & Planning,51-200,$25M-$50M,Unclear,Research with AI,None found,Research with AI,No CA/QA/QC/construction admin jobs; only TIG Welder role (posted ~Dec 2025).,
"Gehry Partners, LLP",Find contacts,"Los Angeles, California, United States",Architecture & Planning,51-200,$25M-$50M,Yes - their site says they carry projects forward through construction administration.,Research with AI,None found,Research with AI,"No current CA/QA/QC/documentation/tech postings; only Junior Architect (Jan 16, 2026) and Job Captain/Intermediate Architect (no date) roles mention “",
idGROUP,Find contacts,"Dallas, Texas, United States",Architecture & Planning,51-200,$25M-$50M,Unclear,Research with AI,None found,Research with AI,No current construction admin/CA/QA/QC/docs/tech jobs found at idGROUP.,
Rafael Viñoly Architects,Find contacts,"New York, New York, United States",Architecture & Planning,51-200,$25M-$50M,Unclear,Research with AI,"Yes – e.g., 249 E. 62 St., LLC v. Rafael Vinoly Architects, P.C. (NY Sup. Ct. 2025).",Research with AI,"Yes. Intermediate Designer – New York, posted Jan 16, 2026 (includes construction admin).",
MHK Architecture,Find contacts,"Kelly Usa, Texas, United States",Architecture & Planning,51-200,$25M-$50M,Yes - Their commercial process includes a “Construction Administration” phase.,Research with AI,None found,Research with AI,No current CA/QA/QC/documentation tech roles; only design/architect jobs listed.,
EVOQ Architecture,Find contacts,"Montréal, Quebec, Canada",Architecture & Planning,51-200,$1M-$10M,Yes - Their Services page lists “Construction Contract Administration” under Construction.,Research with AI,None found,Research with AI,Yes. Careers page shows roles incl. Site Supervisor (posted before Jan 14 2026).,
Morris Adjmi Architects,Find contacts,"New York, New York, United States",Architecture & Planning,51-200,$25M-$50M,Unclear,Research with AI,None found,Research with AI,"Yes. Example: “Project Architect” – Archinect, Jan 2026 (construction admin–heavy).",
Legat Architects,Find contacts,"Chicago, Illinois, United States",Architecture & Planning,51-200,$25M-$50M,"Yes - Services page lists “Construction Administration” under Architecture, Interior Design, and Special Projects.",Research with AI,Trademark dispute found; no recent construction/contractor litigation found,Research with AI,"No CA/QA/QC/documentation roles; only BD & Marketing Specialist, Project Manager, Project Associate, Project Architect (no construction admin) listed.",
Biorev Studios | 3D Rendering Studio,Find contacts,"Frisco, Texas, United States",Architecture & Planning,51-200,$25M-$50M,No,Research with AI,None found,Research with AI,"Yes – current relevant role: Technical Executive Assistant (posted pre‑Jan 21, 2026).",
KSS Architects,Find contacts,"Princeton, New Jersey, United States",Architecture & Planning,51-200,$25M-$50M,Unclear,Research with AI,None found,Research with AI,"Recent CA-related role: Architectural Intern – job focused on supporting multiple projects in construction administration (posted Nov 6, 2025; closed/",
MCG Architecture,Find contacts,"Independence, Ohio, United States",Architecture & Planning,51-200,$50M-$100M,Yes - a firm article notes they follow projects through Construction Administration to grand opening,Research with AI,None found,Research with AI,Unknown – no current CA/QA/QC/doc/tech construction admin roles found.,
Young + Wright Architectural,Find contacts,"Buffalo, New York, United States",Architecture & Planning,51-200,$25M-$50M,Yes - Services page lists “Construction Services” providing construction oversight.,Research with AI,None found,Research with AI,Yes. Careers page lists a “Construction Coordinator” role (construction admin). Posting date not shown.,
Allied Engineering,Find contacts,"Portland, Maine, United States",Architecture & Planning,11-50,$50M-$100M,Unclear,Research with AI,None found,Research with AI,No current Allied Engineering (AEI) construction admin job postings found.,
Iconica,Find contacts,"Madison, Wisconsin, United States",Architecture & Planning,51-200,$25M-$50M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/documentation/tech roles visible; no construction admin titles listed.,
KZF Design,Find contacts,"Cincinnati, Ohio, United States",Architecture & Planning,51-200,$50M-$100M,Yes - Their Architecture services list includes “Construction Administration.”,Research with AI,None found,Research with AI,No current CA/QA/QC/documentation tech roles; no construction admin jobs listed.,
KMD Architects,Find contacts,"San Francisco, California, United States",Architecture & Planning,51-200,$25M-$50M,"Yes - project pages note KMD provided “construction administration” (e.g., Oakland Federal Building).",Research with AI,None found,Research with AI,No current CA/QA/QC/tech construction admin jobs posted.,
"TMPartners, PLLC",Find contacts,"Franklin, Tennessee, United States",Architecture & Planning,51-200,$25M-$50M,Unclear,Research with AI,None found,Research with AI,No current CA/QA/QC/tech or construction admin jobs found.,
"Veneklasen Associates, Inc.",Find contacts,"Santa Monica, California, United States",Architecture & Planning,51-200,$10M-$25M,Unclear,Research with AI,None found,Research with AI,No current Veneklasen Associates CA/QA/QC/tech construction admin jobs found.,
NFD Interior Architectural Planning + Design,Find contacts,"Hunt Valley, Maryland, United States",Architecture & Planning,11-50,$50M-$100M,Yes - their listed services explicitly include Construction Administration.,Research with AI,None found,Research with AI,No relevant CA/QA/QC/documentation/tech or construction admin job postings found.,
DESMAN - Parking Specialists,Find contacts,"New York, New York, United States",Architecture & Planning,51-200,$25M-$50M,Yes - job posting notes assisting engineers/architects in construction administration,Research with AI,Yes – involved in at least one ongoing case (wrongful-death/design dispute).,Research with AI,No relevant CA/QA/QC/documentation/tech construction admin roles found.,
Rule Joy Trammell Rubio,Find contacts,"Atlanta, Georgia, United States",Architecture & Planning,51-200,$25M-$50M,Yes - bios and project pages note experience leading projects through construction administration.,Research with AI,"Cook v. 1405 Spring Street Owner, LLC et al., Civil Rights: Accommodations, filed Sept 4 2025; no construction/contractor cases found 2023–2026.",Research with AI,"Only “Branding and Graphics Specialist” (Atlanta, GA) – posted ~Dec 2025; no CA/QA/QC roles.",
AHL,Find contacts,"Honolulu, Hawaii, United States",Architecture & Planning,51-200,$50M-$100M,Yes - About page notes services “from master planning to all phases of design and construction administration.”,Research with AI,None found,Research with AI,No current CA/QA/QC/tech openings; no construction admin jobs listed.,
DiMella Shaffer,Find contacts,"Boston, Massachusetts, United States",Architecture & Planning,51-200,$25M-$50M,Yes - their listed services include “construction administration.”,Research with AI,None found,Research with AI,No current CA/QA/QC/tech openings; career page shows only “General Inquiries.”,
Stengel Hill,Find contacts,"Louisville, Kentucky, United States",Architecture & Planning,51-200,$25M-$50M,Yes - Their Architecture services list includes Construction Administration.,Research with AI,None found,Research with AI,No current CA/QA/QC/documentation tech roles; only design internships listed,
EVstudio,Find contacts,"Denver, Colorado, United States",Architecture & Planning,51-200,$25M-$50M,Yes - Their Phases of Service page lists “Construction Administration” as a service.,Research with AI,"Yes – CC Communities LLC v. EV Studio LLC filed Sept 2, 2022 (22cv32539), alleged design defects.",Research with AI,No current CA/QA/QC/document control roles; no construction admin postings found.,
Graziani + Corazza Architects Inc.,Find contacts,"Vaughan, Ontario, Canada",Architecture & Planning,11-50,$1M-$10M,Yes - they list in-house contract administration as part of their full-service offering,Research with AI,None found,Research with AI,No current construction admin/CA/QA/QC/documentation/tech job postings found.,
